dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P02406	YGL103W	5.58E-05	5.52E-05	5.84E-05
P02557	YFL037W	3.26E-06	3.57E-06	3.92E-06
P02829	YPL240C	2.23E-06	2.36E-06	2.14E-06
P02992	YOR187W	4.58E-06	5.16E-06	5.17E-06
P02994	YPR080W	0.000214094	0.000200158	0.000194738
P03871	R0020C	2.64E-07	5.21E-07	2.86E-07
P03872	R0040C	2.61E-07	7.72E-07	4.05E-07
P03874	YHL038C	1.41E-08	1.39E-08	1.48E-08
P03962	YEL021W	6.60E-07	6.13E-07	6.30E-07
P03965	YJR109C	8.60E-06	9.23E-06	9.33E-06
P04037	YGL187C	1.44E-06	1.67E-06	1.60E-06
P04039	YLR395C	4.80E-07	3.62E-07	0
P04046	YMR300C	5.64E-06	5.83E-06	5.74E-06
P04050	YDL140C	7.17E-07	6.87E-07	6.80E-07
P04051	YOR116C	5.18E-08	5.66E-08	5.62E-08
P04076	YHR018C	8.79E-06	8.79E-06	8.43E-06
P04147	YER165W	1.37E-05	1.29E-05	1.30E-05
P04161	YDR408C	1.84E-06	1.90E-06	1.77E-06
P04173	YCL018W	1.39E-05	1.37E-05	1.33E-05
P04449	YGL031C	7.03E-06	6.11E-06	6.79E-06
P04456	YOL127W	0.000112369	0.000112009	0.0001112
P04650	YJL189W	7.65E-05	8.61E-05	9.08E-05
P04786	YOL006C	5.81E-08	4.73E-08	5.26E-08
P04801	YIL078W	5.38E-06	5.23E-06	5.36E-06
P04802	YLL018C	8.38E-06	8.25E-06	8.33E-06
P04803	YDR268W	1.26E-07	1.74E-07	2.25E-07
P04806	YFR053C	2.29E-06	2.60E-06	3.96E-06
P04807	YGL253W	9.72E-06	9.67E-06	9.67E-06
P04819	YDL164C	1.96E-08	2.32E-08	0
P04821	YLR310C	1.96E-08	0	0
P04840	YNL055C	1.28E-05	1.30E-05	1.44E-05
P04912	YBL003C	2.24E-05	2.41E-05	2.48E-05
P05030	YGL008C	2.57E-05	2.24E-05	2.53E-05
P05150	YJL088W	1.00E-05	1.10E-05	1.06E-05
P05317	YLR340W	6.75E-05	7.08E-05	7.21E-05
P05318	YDL081C	5.45E-05	6.94E-05	5.57E-05
P05319	YOL039W	4.13E-05	4.37E-05	4.27E-05
P05373	YGL040C	2.99E-06	3.32E-06	3.32E-06
P05374	YGR157W	2.22E-07	1.74E-07	2.30E-07
P05375	YJR073C	5.67E-08	7.79E-08	1.09E-07
P05453	YDR172W	3.21E-06	3.03E-06	3.16E-06
