prot_IDs	usage
prot_P00044_exchange	0.0115755779757365
prot_P00127_exchange	0.997361277438734
prot_P00128_exchange	0.997361277438734
prot_P00163_exchange	0.997361277438734
prot_P00175_exchange	0
prot_P00330_exchange	0.0575509084663372
prot_P00331_exchange	0
prot_P00358_exchange	1
prot_P00359_exchange	0.648482684118535
prot_P00360_exchange	1
prot_P00401_exchange	1
prot_P00410_exchange	1
prot_P00420_exchange	1
prot_P00425_exchange	0.681318289085423
prot_P00427_exchange	0.681318289085423
prot_P00431_exchange	0
prot_P00498_exchange	0.386647504077797
prot_P00549_exchange	0.26238460422223
prot_P00560_exchange	0.129954145137246
prot_P00572_exchange	0
prot_P00724_exchange	0
prot_P00812_exchange	0
prot_P00815_exchange	0.0186879261647659
prot_P00817_exchange	0.152868143539039
prot_P00830_exchange	0.061392200431867
prot_P00854_exchange	0.598569881515164
prot_P00856_exchange	0.598569881515164
prot_P00890_exchange	0.158508554934722
prot_P00899_exchange	0.820660585364625
prot_P00912_exchange	0.146041842321323
prot_P00924_exchange	1
prot_P00925_exchange	0.131204368204901
prot_P00927_exchange	0.0255518027050703
prot_P00931_exchange	1
prot_P00937_exchange	0.820660585364625
prot_P00942_exchange	0.00395783904804869
prot_P00950_exchange	0.0683898252847638
prot_P00958_exchange	0.82066257761612
prot_P03962_exchange	0.0235822666056465
prot_P03965_exchange	0.000984611554241908
prot_P04037_exchange	0.681318289085423
prot_P04039_exchange	0.681318289085423
prot_P04046_exchange	0.024908841972812
prot_P04076_exchange	0.000623716072358842
prot_P04161_exchange	0.556960803080162
prot_P04173_exchange	0.237512504509987
prot_P04801_exchange	0.82065974916181
prot_P04802_exchange	0.542425836571744
prot_P04803_exchange	0
prot_P04806_exchange	1
prot_P04807_exchange	1
prot_P05030_exchange	1
prot_P05150_exchange	0.0175609819802038
prot_P05373_exchange	8.10423464798878e-05
prot_P05374_exchange	0.343078596921676
prot_P05375_exchange	0.997100867756879
prot_P05626_exchange	0.598569881515164
prot_P05694_exchange	0.460824358712508
prot_P06106_exchange	0.00760967895134843
prot_P06115_exchange	0
prot_P06168_exchange	0.286893891843438
prot_P06169_exchange	0.352682267137416
prot_P06174_exchange	1.16022808794594e-06
prot_P06208_exchange	0.327068088026296
prot_P06633_exchange	0.00170123181299089
prot_P06738_exchange	0
prot_P06776_exchange	0
prot_P06785_exchange	0.00678864149592375
prot_P07143_exchange	0.997361277438734
prot_P07149_exchange	1
prot_P07170_exchange	0.751679776337737
prot_P07172_exchange	0.000435983066921037
prot_P07236_exchange	0
prot_P07244_exchange	0.294190966227506
prot_P07245_exchange	0.0688897139769447
prot_P07246_exchange	0
prot_P07251_exchange	0.061392200431867
prot_P07255_exchange	1
prot_P07256_exchange	0.997361277438734
prot_P07257_exchange	0.997361277438734
prot_P07258_exchange	0.00255038594945893
prot_P07259_exchange	0.00525754605578089
prot_P07262_exchange	0.214963166120828
prot_P07264_exchange	0.755188568687668
prot_P07275_exchange	0
prot_P07277_exchange	0.999898071458809
prot_P07283_exchange	0.999900538316148
prot_P07284_exchange	0.610767030968539
prot_P07285_exchange	0.820660585364625
prot_P07342_exchange	0.743671739808797
prot_P07347_exchange	0
prot_P07702_exchange	0.177139263776634
prot_P07806_exchange	0.0963911026998738
prot_P07807_exchange	0.0482308328987716
prot_P07991_exchange	0.026861231754101
prot_P08067_exchange	0.997361277438734
prot_P08417_exchange	0.00754516015210184
prot_P08465_exchange	0.876638674934633
prot_P08524_exchange	0.995587512796441
prot_P08525_exchange	0.997361277438734
prot_P08536_exchange	0
prot_P08566_exchange	0.771688482455297
prot_P08678_exchange	0
prot_P08679_exchange	0
prot_P09201_exchange	0
prot_P09436_exchange	0.055102104493048
prot_P09440_exchange	0
prot_P09457_exchange	0.598569881515164
prot_P09624_exchange	0.00354933414031483
prot_P09938_exchange	0.407017469666687
prot_P09950_exchange	0.0037255766382944
prot_P10127_exchange	0
prot_P10174_exchange	0.681318289085423
prot_P10614_exchange	0.675934414804097
prot_P10659_exchange	0.812660826111411
prot_P10869_exchange	0.110226390294304
prot_P10963_exchange	0
prot_P11154_exchange	0.840607214312598
prot_P11325_exchange	0
prot_P11353_exchange	0.00468720145388468
prot_P11412_exchange	0.00769232853259453
prot_P11491_exchange	0
prot_P11986_exchange	1
prot_P12683_exchange	0.541002829168438
prot_P12684_exchange	1
prot_P12695_exchange	0
prot_P12709_exchange	0.275345586090515
prot_P12945_exchange	0
prot_P13188_exchange	0.820661041547006
prot_P13259_exchange	0
prot_P13298_exchange	0.549976046205214
prot_P13663_exchange	0.0280008939900535
prot_P13711_exchange	0
prot_P14020_exchange	0.387316701109054
prot_P14065_exchange	1
prot_P14540_exchange	0.71235753509734
prot_P14742_exchange	0
prot_P14843_exchange	0.0680748045998698
prot_P15019_exchange	0
prot_P15179_exchange	0
prot_P15180_exchange	0.0463760514123493
prot_P15202_exchange	0
prot_P15274_exchange	0
prot_P15454_exchange	0.000118151114516843
prot_P15496_exchange	3.93985004267433e-05
prot_P15624_exchange	0.00432928268601075
prot_P15625_exchange	0.00678222502747691
prot_P15700_exchange	0.0091625950549456
prot_P15703_exchange	0
prot_P15807_exchange	0
prot_P16120_exchange	0.00431302591301225
prot_P16140_exchange	0
prot_P16387_exchange	0
prot_P16451_exchange	0
prot_P16467_exchange	0
prot_P16550_exchange	0.0126430573139874
prot_P16603_exchange	0.999899999998991
prot_P16622_exchange	0.000257422665303296
prot_P16661_exchange	0
prot_P16861_exchange	0.801589232287748
prot_P16862_exchange	1
prot_P17255_exchange	0
prot_P17423_exchange	0.572311839414675
prot_P17505_exchange	0.196286526829919
prot_P17649_exchange	0
prot_P17695_exchange	0
prot_P17709_exchange	1
prot_P18408_exchange	0.820662596486291
